Customer Success Associate,Parent Restaurant name,Unique Location ID,Highest Product,# Printers,# Tablets,Orders Week 2,Orders Week 1,Printed Orders Week 2,Printed Orders Week 1,Cancellations Week 2,Cancellations Week 1,Missed Orders Week 2,Missed Orders Week 1,Average Order ValueMonth 2,Average Order Value Month 1,Last Product Usage Date,Payment Status,Activation Date,Number of online delivery partners
Jimmy ,Restaurant 432,83c50234-ecf6-4d55-b5c4-16b8db234106,Premium,0,0,78,63,0,0,1,1,0,0,32.91,29.29,,Active,5/31/2019,2
Jimmy ,Restaurant 432,2535e5f5-9f96-49b8-a87e-e82da76582d8,Premium,0,0,19,18,0,0,0,1,0,0,25.98,25.97,1/15/2022 10:30 AM,Active,6/18/2019,2
Jimmy ,Restaurant 432,c1c419fe-dbce-4bea-b99d-776ebeb9fdec,Premium,0,0,42,61,0,0,0,5,0,0,27.66,27.4,1/15/2022 10:22 AM,Active,6/6/2019,2
Jimmy ,Restaurant 432,f4e35280-f1c9-4590-97a1-adf8ce22a6ca,Premium,0,0,25,35,0,0,4,7,0,0,29.89,38.11,1/15/2022 7:19 AM,Active,6/6/2019,2
Jimmy ,Restaurant 432,098d445c-ba8e-452b-807c-eb3216a35946,Premium,0,0,36,36,0,0,1,1,0,0,32.5,28.41,1/15/2022 8:11 AM,Active,6/6/2019,2
Jimmy ,Restaurant 405,d2f4c49f-d15d-40a3-a0e1-05fcb5d22800,Premium + POS,0,0,1172,549,1170,544,5,9,0,0,39.12,36.85,1/15/2022 10:57 AM,Active,11/5/2019,2
Jimmy ,Restaurant 405,f6ba35bd-656a-4633-921a-b50f1d1a38e6,Premium + POS,0,0,712,677,707,672,7,7,0,0,32.7,30.27,1/15/2022 10:55 AM,Active,10/30/2019,2
Jimmy ,Restaurant 405,aed9f94d-4539-43d2-a7bd-f8e0e23610a5,Premium + POS,0,0,467,445,466,444,7,11,0,0,36.03,34.12,1/15/2022 10:58 AM,Active,11/1/2019,2
Jimmy ,Restaurant 432,89315082-ceb5-4773-9fd4-1cb6b800ac9c,Premium,0,0,32,28,0,0,2,2,0,0,33.12,30.07,1/15/2022 10:57 AM,Active,6/5/2019,2
Jimmy ,Restaurant 432,bea5eb8a-0364-415e-b178-dc045f6950ee,Premium,0,0,0,0,0,0,0,0,0,0,124.96,51.02,,Active,6/18/2019,0
Jimmy ,Restaurant 432,b63e8fe0-af6f-4cb7-813f-8fd7befe67b1,Premium,0,0,12,11,0,0,1,2,0,0,29.05,32.78,1/15/2022 10:13 AM,Active,6/18/2019,1
Jimmy ,Restaurant 432,01da5bd3-5615-4ee6-9f5a-3d8d1f51c122,Premium,0,0,41,27,0,0,3,2,0,0,37.26,32.29,1/10/2022 11:29 AM,Active,6/19/2019,2
Jimmy ,Restaurant 432,60f5a53e-37d7-4ed6-af8e-de121b01bd9a,Premium,0,0,37,43,0,0,31,36,0,0,32.05,24.62,1/14/2022 3:51 AM,,6/21/2019,1
Jimmy ,Restaurant 432,5a0d96a6-ce28-476d-af1e-60c61be8f7b5,Premium,0,0,,,,,,,,,,,1/6/2022 1:55 PM,Active,6/18/2019,0
Jimmy ,Restaurant 24,63b38a19-b754-4d37-ad9c-3b75d1c07b2f,Premium,0,0,39,36,0,0,0,0,0,0,48.63,47.34,12/10/2021 8:07 AM,,1/27/2020,1
Jimmy ,Restaurant 24,afce7eee-f556-45e6-864d-295d2980271b,Premium,0,0,0,0,0,0,0,0,0,0,,43.59,12/14/2021 10:10 AM,,1/27/2020,0
Jimmy ,Restaurant 24,ea739c5b-2173-450f-b2c6-661929b59606,Premium,0,0,0,0,0,0,0,0,0,0,,44.32,12/15/2021 12:31 AM,,1/27/2020,0
Jimmy ,Restaurant 24,091cc75b-bfce-45f1-bff0-32b9c55fa94f,Premium,0,0,66,63,0,0,0,0,0,0,45.08,40.21,12/15/2021 4:11 AM,,1/27/2020,1
Jimmy ,Restaurant 644,23d0da84-fbdb-4c9e-b9e4-893b6c549fbf,Order Manager,0,0,102,109,102,100,2,8,0,0,25.83,26.14,1/15/2022 10:40 AM,Active,,2
Jimmy ,Restaurant 24,5d709179-3a96-4b84-b226-b5489f57ef41,Premium,0,0,0,0,0,0,0,0,0,0,,41.29,12/15/2021 10:38 AM,,1/27/2020,0
Jimmy ,Restaurant 24,0b0f82db-0dcb-486e-a06b-72a6e8ce1d16,Premium,0,0,61,64,0,0,0,1,0,0,45.78,46.5,12/14/2021 1:48 PM,,1/27/2020,1
Jimmy ,Restaurant 644,f70bd06e-cd4e-43c8-9013-e5f0681c102c,Order Manager,0,0,301,256,300,256,3,2,0,0,31.9,30.41,1/15/2022 10:49 AM,Past_Due,3/4/2020,2
Jimmy ,Restaurant 644,2b3e0579-61cd-4072-aca0-18d804eef189,Order Manager,0,0,61,53,60,53,1,0,0,0,37.28,32.44,1/15/2022 9:46 AM,Active,,3
Jimmy ,Restaurant 24,049dd4bd-86cf-4b63-b2de-63cca73879c4,Premium,0,0,39,57,0,0,1,2,0,0,44.57,43,12/25/2021 3:56 AM,,1/27/2020,1
Jimmy ,Restaurant 24,8c83b3d7-c2d9-484c-a012-9ddcb292cee7,Premium,0,0,72,101,0,0,0,1,0,0,44.35,43.46,12/16/2021 7:33 AM,,1/27/2020,1
Jimmy ,Restaurant 644,918f7f9f-2117-48d0-9d73-3e7c3b069e60,Order Manager,0,0,16,25,16,25,0,0,0,0,36.32,36.79,1/15/2022 9:02 AM,Active,2/17/2020,2
Jimmy ,Restaurant 644,117db4de-4ec1-4acc-8ac6-80306e9c2715,Order Manager,0,0,72,88,0,10,0,0,0,0,36.46,37.82,1/15/2022 8:29 AM,Active,3/23/2020,2
Jimmy ,Restaurant 644,fdef4df8-663a-4210-9439-a752224be96b,Order Manager,0,0,52,50,0,0,1,1,0,0,50.64,43.15,1/15/2022 10:57 AM,Active,5/22/2020,2
Jimmy ,Restaurant 159,471643c6-8c8a-415b-85f3-47852727a7fd,Order Manager,0,0,4,1,0,0,0,0,0,0,25.71,31.61,1/14/2022 6:19 AM,Active,2/17/2020,1
Jimmy ,Restaurant 590,33de4eb4-8f6e-402a-be4e-ab425368fe21,Order Manager,0,0,92,101,0,0,1,2,0,0,46.95,47.61,,Canceled,2/28/2020,2
Jimmy ,Restaurant 644,531301d6-c986-41b7-a1d1-a4b163d6630f,Order Manager,0,0,240,216,235,216,9,4,0,0,28.13,27.16,1/15/2022 10:04 AM,Active,2/18/2020,2
Jimmy ,Restaurant 644,5c02fa81-2d68-42b5-ab1f-ac4189345db3,Order Manager,0,0,78,50,78,50,1,0,0,0,40.95,39.12,1/15/2022 2:01 AM,Active,,2
Jimmy ,Restaurant 747,b136f08e-4634-45ab-bfb5-645e400f8876,Order Manager,1,1,144,154,144,154,1,2,0,0,27.11,26.04,1/15/2022 10:59 AM,Active,6/16/2021,2
Jimmy ,Restaurant 24,87946f9a-90f9-4c90-8526-2e9a2d79c287,Premium,0,0,51,59,0,0,8,10,0,0,42.57,42.7,12/20/2021 3:57 AM,,11/13/2019,1
Jimmy ,Restaurant 590,6397409f-5a71-4e14-93d4-1f4d1bae1ae5,Order Manager,0,0,23,16,0,0,0,0,0,0,61.74,59.08,1/15/2022 7:56 AM,Canceled,2/28/2020,1
Jimmy ,Restaurant 24,b5ec5993-73aa-4ed7-a0ec-ef19e9c6a52d,Premium,0,0,,,,,,,,,,,,,1/24/2020,
Jimmy ,Restaurant 24,9fe6486c-4009-465c-a795-7c7939ef7aba,Premium,0,0,100,120,0,0,2,3,0,0,43.45,41.17,1/5/2022 5:08 AM,,1/27/2020,1
Jimmy ,Restaurant 290,f196c9cf-c731-454f-b978-b0da8c30769b,Order Manager,1,1,,,,,,,,,,,,Canceled,4/9/2020,0
Jimmy ,Restaurant 868,05f215ef-b994-4d7c-ad68-8a442a59a69a,Order Manager,0,1,,,,,,,,,,,,Active,7/1/2020,0
Jimmy ,Restaurant 868,9da9ca01-9ecf-49f1-8761-13fede537b68,Order Manager,0,1,105,83,0,0,15,7,0,0,62.92,56.53,,Canceled,3/16/2020,2
Jimmy ,Restaurant 868,eee1472f-6c95-492a-910b-39c011715c09,Order Manager,0,1,24,29,0,0,0,1,0,0,49.38,46.42,12/9/2021 7:41 PM,Canceled,3/16/2020,1
Jimmy ,Restaurant 868,23a76176-5ff7-4bac-9af8-fed88b1aa937,Order Manager,1,1,9,3,0,0,0,0,0,0,82.91,63.2,,Canceled,7/1/2020,0
Jimmy ,Restaurant 868,9f333b0d-0b7a-46ea-8602-1aa22c219296,Order Manager,0,1,9,12,0,0,0,0,0,0,58.85,63.7,,Active,3/16/2020,1
Jimmy ,Restaurant 868,0d2ce5c4-30b3-4374-94bd-87cedfb9ac4a,Order Manager,0,1,62,67,0,0,5,1,0,0,69.9,65.24,,Active,3/16/2020,2
Jimmy ,Restaurant 868,6a8dee73-012f-4d85-8a69-3b49fa70d280,Order Manager,0,1,,,,,,,,,,,,Canceled,3/16/2020,0
Jimmy ,Restaurant 868,e5f24605-f9f6-423b-852c-9f68f5515ad4,Order Manager,0,1,15,33,0,0,0,0,0,0,55.42,58.81,,Canceled,3/16/2020,1
Jimmy ,Restaurant 868,14d6dac2-b164-473e-aebb-684192a05f83,Order Manager,0,1,78,76,0,0,12,8,0,0,57.02,52.41,,Canceled,3/16/2020,1
Jimmy ,Restaurant 868,79a2ef19-dc64-405b-8389-a13f17387ad2,Order Manager,0,1,79,70,0,0,0,2,0,0,62.97,59,,Active,3/16/2020,2
Jimmy ,Restaurant 598,b98a9d5f-29d1-4d48-a85c-338e65df0b5e,Premium + POS,1,1,434,417,433,397,7,11,0,0,24.73,24.27,1/15/2022 10:55 AM,Active,3/9/2021,2
Jimmy ,Restaurant 366,83dfea5b-c8c5-407d-a562-3c9082f29f65,Premium,0,1,117,113,0,0,53,38,0,0,36.88,31.34,1/15/2022 10:50 AM,Active,6/18/2021,2
Jimmy ,Restaurant 1078,a3c107f6-5a08-4ad2-a475-27221217d227,Premium,1,1,22,22,0,0,1,0,0,0,34.11,32.18,1/15/2022 10:36 AM,Active,5/22/2020,2
Jimmy ,Restaurant 1078,f43c1997-1941-46de-a8d7-eea53172568b,Premium,1,1,32,32,0,0,2,6,0,0,31.86,32.66,1/15/2022 9:57 AM,Active,5/18/2020,2
Jimmy ,Restaurant 1078,6736dc2e-93a7-4ba4-84f3-7116598e3cdf,Premium,1,1,13,18,0,0,0,3,0,0,33.5,29.14,1/14/2022 10:20 AM,Active,5/26/2020,2
Jimmy ,Restaurant 1078,8f2223cd-00e5-4f6b-937c-a3f600f481ce,Premium,1,1,66,64,0,0,0,0,0,0,36.94,34.67,1/15/2022 9:56 AM,Active,5/18/2020,2
Jimmy ,Restaurant 225,9bb78584-30ec-463f-8285-83213b24eb4e,Premium + POS,0,1,23,25,23,25,1,0,0,0,24.11,25.96,1/14/2022 7:40 AM,Active,10/29/2020,1
Jimmy ,Restaurant 603,1130b410-91c0-43d7-a5a1-df15f1ba41d6,Order Manager,3,0,151,149,0,0,4,1,0,0,28.64,26.63,12/1/2021 8:59 AM,Paused,10/1/2020,1
Jimmy ,Restaurant 168,09408555-aaae-42bf-a7f9-71c28b2da58a,Order Manager,1,1,89,105,89,104,0,1,0,0,43.97,44.99,1/15/2022 10:53 AM,Past_Due,10/20/2020,2
Jimmy ,Restaurant 983,feab9530-2abc-4955-a0d9-dfdc5a33711f,Order Manager,1,0,128,256,0,0,1,3,0,0,37.48,36,12/29/2021 11:08 AM,Active,9/18/2020,2
Jimmy ,Restaurant 983,141f9be2-e19e-4f8f-8ee7-69a5e25376bf,Order Manager,1,0,359,373,0,0,2,0,0,0,32.87,31.67,11/26/2021 12:31 PM,Active,9/15/2020,2
Jimmy ,Restaurant 225,7fc7072a-0a92-4f18-b0e5-18681e371263,Premium + POS,0,1,0,0,0,0,0,0,0,0,,,12/15/2021 8:41 AM,Active,10/29/2020,0
Jimmy ,Restaurant 983,da68c790-17a9-43ce-a1e4-0276d9bb5102,Order Manager,1,0,341,364,339,364,7,4,0,0,35.1,34.77,1/15/2022 10:56 AM,Active,9/9/2020,2
Jimmy ,Restaurant 637,4c46d6b6-16e2-4dd1-af33-e115dcef68c4,Order Manager,1,1,120,114,0,0,1,0,0,0,30.1,29.49,1/15/2022 9:19 AM,Active,11/16/2020,1
Jimmy ,Restaurant 637,791d25c4-0b01-42fd-a2c2-d38b8a777685,Order Manager,1,1,226,212,0,0,5,1,0,0,27.32,27.02,1/15/2022 10:58 AM,Active,11/16/2020,1
Jimmy ,Restaurant 366,a7939e03-e105-4cf4-82c2-80fc8d9c1f5f,Premium + POS,0,1,5,6,0,0,1,2,0,0,34.07,26.43,11/15/2021 4:52 PM,Active,10/21/2020,1
Jimmy ,Restaurant 5,c97a7d94-92d6-49ec-8b33-50aff46b8c39,Order Manager,1,1,334,414,334,412,3,9,0,0,28.74,27.71,1/15/2022 8:45 AM,Active,2/2/2021,2
Jimmy ,Restaurant 5,cc69baba-e836-4a5d-9863-bc92844b73fa,Order Manager,1,1,130,144,129,141,0,4,0,0,27.23,27.33,1/13/2022 5:32 AM,Active,2/3/2021,2
Jimmy ,Restaurant 5,6652dc49-e51b-4250-8672-b1a3fc42d47b,Order Manager,1,1,100,113,100,113,1,1,0,0,29.9,27.26,1/15/2022 6:06 AM,Active,2/22/2021,2
Jimmy ,Restaurant 5,0871aca7-3f64-4bb8-b71c-11b393c5e75f,Order Manager,1,1,63,104,63,104,1,2,0,0,32.47,29.71,1/15/2022 6:38 AM,Active,2/22/2021,2
Jimmy ,Restaurant 5,7b53fa41-7c0e-46b0-9f1e-3746d8793f8a,Order Manager,1,1,138,124,137,124,0,2,0,0,27.43,27.45,1/15/2022 9:27 AM,Active,2/15/2021,2
Jimmy ,Restaurant 5,e86b0a48-a9d7-4bea-8159-e5c067394c1d,Order Manager,1,1,119,127,119,122,0,4,0,0,26.51,26.03,1/15/2022 9:38 AM,Active,2/15/2021,2
Jimmy ,Restaurant 5,cb30d509-b0b4-42f4-bd0d-d3f0c8d32ca2,Order Manager,0,0,105,105,104,105,2,2,0,0,26.08,26.45,1/15/2022 5:34 AM,Active,1/26/2021,2
Jimmy ,Restaurant 5,7e94f35d-e649-4879-9c45-7af70f0c7c0f,Order Manager,1,1,154,146,154,146,0,1,0,0,27.52,25.29,1/15/2022 6:01 AM,Active,2/15/2021,2
Jimmy ,Restaurant 5,1233ab4f-f01a-49b9-ae9d-4abdefd87338,Order Manager,1,1,171,184,170,182,0,2,1,0,22.68,21.74,1/15/2022 6:16 AM,Active,5/17/2021,2
Jimmy ,Restaurant 603,0a7478aa-ecc4-4ea3-8fea-9f401cb9761d,Order Manager,3,0,101,125,0,0,1,1,0,0,31.6,28.2,12/4/2021 4:52 AM,Paused,10/12/2020,2
Jimmy ,Restaurant 5,1bfbf4b6-5219-4c79-81cd-206f224ba58a,Order Manager,1,1,92,105,91,105,0,0,0,0,27.54,26.38,1/15/2022 8:14 AM,Active,2/22/2021,2
Jimmy ,Restaurant 5,b23a147c-899e-468b-9401-8ff950c97b6c,Order Manager,1,1,216,219,214,219,18,26,0,0,28.53,25.61,1/15/2022 7:25 AM,Active,1/26/2021,2
Jimmy ,Restaurant 5,3fd12747-1e10-4b77-a295-bacda82dacb1,Premium,1,1,95,94,95,94,0,3,0,0,30.23,30.27,1/15/2022 6:08 AM,Active,1/26/2021,2
Jimmy ,Restaurant 5,a6cb416e-b1c7-4f2c-9375-50bf306f9fdf,Order Manager,1,1,122,119,122,119,0,2,0,0,27.29,25.97,1/15/2022 4:41 AM,Active,1/26/2021,2
Jimmy ,Restaurant 5,d51a252b-b9aa-476e-aede-a0bc6503cf8b,Order Manager,0,0,80,44,78,38,3,6,0,0,19.18,18.91,1/15/2022 6:48 AM,Past_Due,1/26/2021,2
Jimmy ,Restaurant 168,89a4abbb-fe73-482f-a150-ea5795af7dfc,Order Manager,1,1,113,145,113,145,1,0,0,0,44.2,41.25,1/15/2022 10:56 AM,Active,1/7/2021,1
Jimmy ,Restaurant 5,08f9526e-eb62-4772-8194-621bb9244093,Order Manager,0,0,111,112,111,112,1,1,0,0,31.38,29.35,1/15/2022 7:49 AM,Active,1/26/2021,2
Jimmy ,Restaurant 5,19dab45b-04e3-4108-89b0-55e8428be148,Order Manager,0,0,46,24,46,24,0,0,0,0,31.52,28.47,1/3/2022 8:34 AM,Active,1/26/2021,2
Jimmy ,Restaurant 710,0a1d62c7-f5e8-4132-9664-179147a0bab7,Premium + POS,0,1,63,87,0,0,3,2,0,0,29.34,27.3,11/11/2021 4:59 AM,Active,11/18/2020,1
Jimmy ,Restaurant 710,b7dbd515-2bd8-4ae3-bcf1-30e5e3dac594,Premium + POS,0,0,53,49,0,0,3,3,0,0,42.66,41.57,,,10/8/2020,1
Jimmy ,Restaurant 710,cb832225-fbaa-46c6-b1ef-0b3da766968b,Premium + POS,0,0,26,26,0,0,1,2,0,0,47.93,49.16,11/15/2021 11:51 AM,,10/8/2020,1
Jimmy ,Restaurant 710,509419e2-941d-441b-b0f4-ca517febb2fd,Premium + POS,0,0,47,61,0,0,0,0,0,0,48.3,40.09,,,10/8/2020,1
Jimmy ,Restaurant 710,18bdd7a4-84a1-4bd5-8317-56e6de372894,Premium + POS,0,0,173,168,0,0,4,3,0,0,40.36,39.45,1/15/2022 10:59 AM,,10/8/2020,1
Jimmy ,Restaurant 710,15267c88-9513-4753-b758-d3da6dad3d7b,Premium + POS,0,0,90,84,0,0,0,0,0,0,41.85,41.33,10/23/2021 10:34 AM,,10/8/2020,1
Jimmy ,Restaurant 775,0d269e53-5c1f-4244-8069-f716694be0de,Premium + POS,0,1,0,0,0,0,0,0,0,0,109.18,,8/17/2021 6:27 AM,Active,3/8/2021,0
Jimmy ,Restaurant 637,e4743fbc-0aa3-4d58-a3bc-47366035d2c8,Order Manager,1,1,100,119,0,0,1,5,0,0,30.21,29.07,1/15/2022 9:33 AM,Active,11/16/2020,1
Jimmy ,Restaurant 639,69e7240a-550a-43c7-85c1-1f0354928832,Order Manager,1,1,74,86,74,86,2,1,0,0,42.19,41.45,1/15/2022 9:50 AM,Canceled,5/15/2020,1
Jimmy ,Restaurant 983,719fb94b-b6c7-4f95-9215-358846c19074,Order Manager,1,0,322,365,0,0,1,0,0,0,35.16,34.48,1/9/2022 2:46 AM,Active,9/9/2020,2
Jimmy ,Restaurant 579,4b6922f6-f2b2-4274-afe2-31efca4e5182,Order Manager,1,0,10,7,10,0,1,3,0,0,49.32,63.74,1/15/2022 8:23 AM,Active,1/26/2021,2
Jimmy ,Restaurant 290,31956708-7c71-4ffb-877b-acb8de336525,Premium,2,1,649,837,0,0,11,11,0,0,22.56,24.04,10/4/2021 1:57 AM,Active,9/2/2021,2
Jimmy ,Restaurant 1078,1823f43a-989d-4290-9ed8-00bae862f480,Premium,1,1,13,5,0,0,1,1,0,0,32.31,32.3,1/15/2022 10:10 AM,Active,5/18/2020,2
Jimmy ,Restaurant 366,dbfa06c1-1678-43e4-84ea-47c99c6d3fcf,Premium,0,0,211,204,0,0,3,1,0,0,33.96,32.98,1/15/2022 10:59 AM,Active,4/26/2021,3
Jimmy ,Restaurant 603,26aa5db2-20bb-452f-bd6b-5a2564b5f8a0,Order Manager,3,0,261,211,0,0,3,4,0,0,27.06,24.21,11/24/2021 4:56 AM,Paused,9/30/2020,2
Jimmy ,Restaurant 901,1cec0fc8-135c-462a-ab37-106a93109d12,Order Manager,0,0,276,234,275,233,3,11,0,0,20.68,19.68,1/2/2022 7:17 AM,,5/27/2020,2
Jimmy ,Restaurant 579,7d836ed7-ec65-4542-9bb6-d6fab5745a98,Order Manager,1,0,56,52,56,35,0,1,0,0,29.32,28.27,1/13/2022 11:24 PM,Active,12/21/2020,2
Jimmy ,Restaurant 830,75df145c-ddef-4acf-b09b-bc962aca6894,Premium,1,1,210,286,0,0,3,32,0,0,27.77,27.47,,Paused,10/12/2021,1
Jimmy ,Restaurant 794,71e938cb-40c4-4759-9a30-9ed766a26953,Order Manager,1,1,37,37,36,35,1,0,0,0,35.86,38.43,1/15/2022 10:24 AM,Active,4/15/2020,2
Jimmy ,Restaurant 85,9bccaaa1-2132-434c-b237-0c18e368f396,Premium,1,1,194,162,192,162,3,1,0,0,54.85,51.91,1/15/2022 10:27 AM,,9/13/2021,3
Jimmy ,Restaurant 225,2fa1ff0a-8f25-4da5-bedb-e8e4d802bb4a,Premium + POS,0,1,0,0,0,0,0,0,0,0,,,8/5/2021 8:16 AM,Active,10/29/2020,0
Jimmy ,Restaurant 970,c0d3b680-3290-4601-9e9d-fb34f34f6546,POS Integration,1,1,169,165,165,165,4,1,0,0,33.65,32.03,1/15/2022 9:49 AM,Active,10/20/2020,2
Jimmy ,Restaurant 970,9a3505f3-9f52-42df-84d4-616a009a4595,POS Integration,1,1,217,184,216,181,3,5,0,0,34.48,35.17,1/15/2022 10:24 AM,Active,10/20/2020,2
Jimmy ,Restaurant 603,c29616e9-bb76-4039-bcd8-cc460029e3b5,POS Integration,1,0,88,78,88,78,3,0,0,0,22.44,20.23,12/2/2021 11:08 PM,Paused,10/19/2020,2
Jimmy ,Restaurant 432,3952765c-b8fc-494e-a981-bc17afe8a8ff,Premium,0,1,9,7,0,0,1,2,0,0,36.02,27.74,1/15/2022 8:05 AM,Active,2/2/2021,1
Jimmy ,Restaurant 855,e0a9d089-5e71-460e-902b-bb6f1ff0e7f5,POS Integration,0,1,379,414,0,0,2,6,0,0,29.05,28.23,1/15/2022 10:45 AM,Active,1/25/2021,2
Jimmy ,Restaurant 855,bf17ecee-b488-4df4-8030-877598f85a8c,POS Integration,0,1,,,,,,,,,,,,Active,1/19/2021,
Jimmy ,Restaurant 855,01ee55ff-a7f7-40d0-888b-c8545ba62b09,Premium + POS,0,1,254,242,0,0,2,2,0,0,29.39,27.49,1/15/2022 9:09 AM,Active,1/19/2021,2
Jimmy ,Restaurant 855,a722fdd4-5ac3-4ae3-a9ea-c1d671898c88,Premium + POS,0,1,86,114,0,0,0,1,0,0,32.05,31.54,1/15/2022 10:47 AM,Active,1/19/2021,2
Jimmy ,Restaurant 855,e020a473-d539-47ef-b421-ab14b081a2aa,Premium + POS,0,1,150,139,0,0,2,4,0,0,29.67,28.6,1/15/2022 10:42 AM,Active,1/19/2021,2
Jimmy ,Restaurant 855,15b5b1da-ece3-4225-8f4c-30aaa0358028,Premium + POS,0,1,120,152,0,0,0,1,0,0,29.77,29.25,1/15/2022 10:58 AM,Active,1/19/2021,2
Jimmy ,Restaurant 855,d7685f0c-9187-4d99-904a-c9a938db8bc1,Premium + POS,0,1,82,80,0,0,0,0,0,0,30.98,30.6,1/15/2022 10:56 AM,Active,1/19/2021,2
Jimmy ,Restaurant 855,b2985d58-ff96-4937-ae73-58e25099c855,Premium + POS,0,1,154,166,0,0,1,0,0,0,30.06,29.5,1/15/2022 10:21 AM,,1/19/2021,2
